"StoreId","StoreName","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"w9rx","55 Pares ","55 Pares - Molino","Filipino","4.3","(100+)","Bacoor Cavite","Molino"
"qek9","Binakol Grill and Restaurant ","Binakol Grill and Restaurant - Molino Boulevard","Ulam","4.7","(68)","Bacoor Cavite","Molino Boulevard"
"d62t","Zagu ","Zagu - RFC Molino Mall","Beverages","4.7","(500+)","Bacoor Cavite","RFC Molino Mall"
"qsqd","St. Martin's Cafe ","St. Martin's Cafe - F. Lamas","Milk Tea","3.4","(11)","Cebu City","F. Lamas"
"yr98","Sebu Cha Cafe ","Sebu Cha Cafe - P Del Rosario","Beverages","5","(36)","Cebu City","P Del Rosario"
"f399","Mister Donut ","Mister Donut - Elizabeth MallÂ ","Donut","4.8","(100+)","Cebu City","Elizabeth MallÂ"
"nfvu","Seoul Ramen by Sulbing Dessert Cafe ","Seoul Ramen by Sulbing Dessert Cafe - Parian","Ramen","4.3","(100+)","Cebu City","Parian"
"o4f8","PICKUP COFFEE ","PICKUP COFFEE - Elizabeth Mall","Coffee","4.7","(100+)","Cebu City","Elizabeth Mall"
"uisq","Ate Rica's Bacsilog ","Ate Rica's Bacsilog - Elizabeth Mall","Silog","4.7","(100+)","Cebu City","Elizabeth Mall"
"w9if","Bubble & Brew ","Bubble & Brew - Talamban","Asian","4.6","(500+)","Cebu City","Talamban"
"gco1","Food Trip sa ","Food Trip sa - Sambag I","Desserts","3.2","(4)","Cebu City","Sambag I"
"x6aj","The Royal Tea Station ","The Royal Tea Station - T Padilla Street","Milk Tea","4.6","(100+)","Cebu City","T Padilla Street"
"p6up","Kaffee Alde ","Kaffee Alde - Mabolo","Cakes","4.8","(2000+)","Cebu City","Mabolo"
"erdr","Chicky'Oink ","Chicky'Oink -  T. Padilla","Liempo","4.7","(100+)","Cebu City","T. Padilla"
"l3mj","May Abohan ","May Abohan - E-Mall","Filipino","4.6","(100+)","Cebu City","Mall"
"q0jl","New Found Burger ","New Found Burger - San Lorenzo Village","Burgers","4.8","(500+)","Cebu City","San Lorenzo Village"
"m540","Sisig Hooray ","Sisig Hooray - Super Metro Mambaling","Sisig","4.2","(100+)","Cebu City","Super Metro Mambaling"
"gt4q","24 Chicken ","24 Chicken - GND Arcade","Fried Chicken","4.8","(5000+)","Cebu City","GND Arcade"
"rqi8","Bigg Chow Diner ","Bigg Chow Diner - Elizabeth Mall","Chinese","3.1","(100+)","Cebu City","Elizabeth Mall"
"s8xg","Avocadoria.ph ","Avocadoria.ph - Elizabeth Mall","Ice Cream","4.7","(500+)","Cebu City","Elizabeth Mall"
"wq40","Kerrimo ","Kerrimo - Elizabeth Mall","Filipino","5","(5)","Cebu City","Elizabeth Mall"
"ybb3","Chingkeetea ","Chingkeetea - USC Main","Desserts","5","(9)","Cebu City","USC Main"
"m8cl","Herblend Selection ","Herblend Selection - APM Central Mall","Fruit Shake","4.8","(9)","Cebu City","APM Central Mall"
"u4nm","BÃºzzy Buzzy ","BÃºzzy Buzzy - Sanciangko Street","Milk Tea","5","(1)","Cebu City","Sanciangko Street"
"gzm7","Pad Thai Goong ","Pad Thai Goong - F. Cabahug","Thai","4.8","(86)","Cebu City","F. Cabahug"
"mwxl","Everyday Friday Bistro & Grill ","Everyday Friday Bistro & Grill - Pope John Paul II Avenue","Filipino","4.3","(100+)","Cebu City","Pope John Paul II Avenue"
"xh1w","Avo Bravo ","Avo Bravo - Elizabeth Mall","Ice Cream","4.9","(29)","Cebu City","Elizabeth Mall"
"o9um","Rice Burger ","Rice Burger - Elizabeth Mall","Korean","4.7","(100+)","Cebu City","Elizabeth Mall"
"w6af","Mr. & Mrs. Bar","Mr. & Mrs. Bar-B-Q - The Persimmon Plus","Filipino","4.7","(4000+)","Cebu City","The Persimmon Plus"
"xynz","Third Wave Coffee Cafe ","Third Wave Coffee Cafe - F Cabahug","Coffee","4.9","(88)","Cebu City","F Cabahug"
"nwjg","RJ Refreshment Stall ","RJ Refreshment Stall - Avocado Street","Snacks","3","(7)","Cebu City","Avocado Street"
"ij1v","Acapulco's Mexican grill ","Acapulco's Mexican grill - Mabolo","Wraps","4.2","(100+)","Cebu City","Mabolo"
"r4xy","Cebu's Tasty Lechon ","Cebu's Tasty Lechon - Seaoil","Filipino","4.6","(5000+)","Cebu City","Seaoil"
"r7py","Cebu's Ayers Lechon ","Cebu's Ayers Lechon - E-Mall","Lechon","4.2","(100+)","Cebu City","Mall"
"wd0o","Turks ","Turks - Super Metro Mambaling","Wraps","5","(37)","Cebu City","Super Metro Mambaling"
"z2ht","Uncle Roger's Sisig Food Hub ","Uncle Roger's Sisig Food Hub - La Cittadella Subdivision","Asian","2.5","(71)","Cebu City","La Cittadella Subdivision"
"speq","Brewed Delights ","Brewed Delights - Mabolo, Cebu City","Milk Tea","4.6","(500+)","Cebu City","Mabolo, Cebu City"
"s1is","Drip Tea ","Drip Tea - Pelaez Street","Milk Tea","4.6","(500+)","Cebu City","Pelaez Street"
"cg6c","Mix & Match Jollibee, Mang Inasal, Chowking & Greenwich ","Mix & Match Jollibee, Mang Inasal, Chowking & Greenwich - CityMall Bacalso","25 min","4.4","(2000+)","Cebu City","CityMall Bacalso"
"jkrf","Cuts & Brews ","Cuts & Brews - Talamban Road","Filipino","5","(10)","Cebu City","Talamban Road"
"tdyd","Hanbando Korean Restaurant ","Hanbando Korean Restaurant - Talamban","Rice Bowl","4.8","(50)","Cebu City","Talamban"
"e35c","To Go Coffee ","To Go Coffee - Mabolo","Coffee","4.2","(500+)","Cebu City","Mabolo"
"wsbj","Uncle Brew ","Uncle Brew - P Del Rosario","Beverages","4","(6)","Cebu City","P Del Rosario"
"s2n5","Buko n Shake ","Buko n Shake - Elizabeth Mall","Fruit Shake","5","(7)","Cebu City","Elizabeth Mall"
"evd3","Mayora's Authentic Batangas Lomi And Panciteria ","Mayora's Authentic Batangas Lomi And Panciteria - Junquera","Lomi","4.6","(100+)","Cebu City","Junquera"
"t55n","Chupachupz Food Stall ","Chupachupz Food Stall - Lot 23 Food Park","Filipino","4.6","(10)","Cebu City","Lot 23 Food Park"
"q2qv","Fat Jim's Steak House ","Fat Jim's Steak House - FLC Center","American","4.8","(500+)","Cebu City","FLC Center"
"ybru","Buenos Nachos ","Buenos Nachos - Mandaue","Wraps","4.9","(15)","Cebu City","Mandaue"
"ncyh","Frosting Adventure Cafe ","Frosting Adventure Cafe - Mabolo","Cakes","3.3","(36)","Cebu City","Mabolo"
"s8kt","Hanami Japanese Food and Sisig ","Hanami Japanese Food and Sisig - ML Quezon Street","Noodles","4.6","(500+)","Cebu City","ML Quezon Street"
"fi1y","Bed Box CafÃ© ","Bed Box CafÃ© - Rizal Street","Lechon","4.9","(29)","Dagupan Pangasinan","Rizal Street"
"simj","Black cafÃ©","Black cafÃ©","Coffee","3.2","(6)","Dagupan Pangasinan",""
"ept1","Big Pappa's Pizza ","Big Pappa's Pizza - Mayombo","Pizza","5","(32)","Dagupan Pangasinan","Mayombo"
"lj6p","I Love Milktea ","I Love Milktea - Tapuac","Milk Tea","4.6","(500+)","Dagupan Pangasinan","Tapuac"
"nva6","Wendy's ","Wendy's - Lucao Dagupan","Burgers","4.6","(1000+)","Dagupan Pangasinan","Lucao Dagupan"
"dqxi","Rubis Restaurant ","Rubis Restaurant - Tapuac","Chinese","4.6","(100+)","Dagupan Pangasinan","Tapuac"
"r9mk","Chowking ","Chowking - Dagupan","Fast Food","4.3","(2000+)","Dagupan Pangasinan","Dagupan"
"el9m","Wright Wings ","Wright Wings - Judge Jose de Venecia Highway","Chicken Wings","5","(26)","Dagupan Pangasinan","Judge Jose de Venecia Highway"
"qm48","Tim Hortons ","Tim Hortons - River Grove Lifestyle Center","Coffee","4.7","(500+)","Dagupan Pangasinan","River Grove Lifestyle Center"
"puwu","Potato Corner ","Potato Corner - Assada Center","Fries","4.4","(70)","Dagupan Pangasinan","Assada Center"
"wloi","Los Pedritos Bakeshop & Restaurant ","Los Pedritos Bakeshop & Restaurant - Tapuac","Ulam","4.9","(41)","Dagupan Pangasinan","Tapuac"
"sdwr","But first, Coffee ","But first, Coffee - AB Fernandez Ave","Filipino","4.6","(100+)","Dagupan Pangasinan","AB Fernandez Ave"
"x2zm","Macao Imperial Tea  ","Macao Imperial Tea  - SM City Dagupan","Milk Tea","4.6","(1000+)","Dagupan Pangasinan","SM City Dagupan"
"o3xf","Zark's Burgers ","Zark's Burgers - SM Dagupan","American","4.6","(500+)","Dagupan Pangasinan","SM Dagupan"
"b1av","Red Ribbon ","Red Ribbon - Perez Dagupan","Cakes","4.7","(1000+)","Dagupan Pangasinan","Perez Dagupan"
"y9lj","Bili Chow Food Hub ","Bili Chow Food Hub - Tapuac","Filipino","4.7","(1000+)","Dagupan Pangasinan","Tapuac"
"mgt2","Army Navy ","Army Navy - Judge Jose de Venecia Highway","Burgers","4.8","(100+)","Dagupan Pangasinan","Judge Jose de Venecia Highway"
"xvkc","Yummy Fries and Burger ATBP.","Yummy Fries and Burger ATBP.","Filipino","4.4","(5)","Dagupan Pangasinan",""
"t9yo","Lenox Hotel ","Lenox Hotel - Cafe Feliz","Dim Sum ","4.7","(100+)","Dagupan Pangasinan","Cafe Feliz"
"y3nl","The Players' Kitchen ","The Players' Kitchen - Tapuac","Healthy","4.8","(500+)","Dagupan Pangasinan","Tapuac"
"yhng","Sajang Chicken Dagupan ","Sajang Chicken Dagupan - Tapuac","Korean","4.6","(91)","Dagupan Pangasinan","Tapuac"
"szsr","Inihouse ","Inihouse - Tapuac","BBQ","3.3","(32)","Dagupan Pangasinan","Tapuac"
"rq24","Milk Fridge ","Milk Fridge - AB Fernandez Avenue","Milk Tea","4.8","(500+)","Dagupan Pangasinan","AB Fernandez Avenue"
"vdoc","Domino's Pizza ","Domino's Pizza - Dagupan","Pizza","4.5","(100+)","Dagupan Pangasinan","Dagupan"
"ohqy","Chef Distrito ","Chef Distrito - Tapuac","Filipino","4.5","(46)","Dagupan Pangasinan","Tapuac"
"atkr","Angel's Pizza Pasta Combo ","Angel's Pizza Pasta Combo - Assada Centre","Pizza","4.7","(500+)","Dagupan Pangasinan","Assada Centre"
"d2bd","Razon's by Glenn ","Razon's by Glenn - Perez","Filipino","4.6","(100+)","Dagupan Pangasinan","Perez"
"a9uo","Caffe Angelito Coffee and Juice Bar ","Caffe Angelito Coffee and Juice Bar - Tapuac","Pizza","4.6","(100+)","Dagupan Pangasinan","Tapuac"
"ifzk","Enteng Cheese'desal ","Enteng Cheese'desal - Zamora","Bread","4.9","(20)","Dagupan Pangasinan","Zamora"
"udsv","Bamâ€™s Kitchen ","Bamâ€™s Kitchen - Dagupan","Burgers","4.1","(20)","Dagupan Pangasinan","Dagupan"
"qlmb","Kuya J Restaurant ","Kuya J Restaurant - SM Dagupan","Filipino","4.4","(100+)","Dagupan Pangasinan","SM Dagupan"
"ts6h","Sajj Shawarma ","Sajj Shawarma - Dagupan","Biryani","4.4","(500+)","Dagupan Pangasinan","Dagupan"
"k1b4","Cajun Republique ","Cajun Republique - Plaza Del Carmen","Seafood","3.9","(25)","Dagupan Pangasinan","Plaza Del Carmen"
"a0vm","MicroBurger ","MicroBurger - Arellano Street","Burgers","4.1","(100+)","Dagupan Pangasinan","Arellano Street"
"yq3q","Lemonology ","Lemonology - Malued Street","Beverages","5","(10)","Dagupan Pangasinan","Malued Street"
"v21y","JV's Foodstation ","JV's Foodstation - Callejon Street","Fried Chicken","4.4","(500+)","Dagupan Pangasinan","Callejon Street"
"twyw","Carne'val Mexican Grill And Restaurant ","Carne'val Mexican Grill And Restaurant - Plaza Del Carmen","Burgers","4.5","(100+)","Dagupan Pangasinan","Plaza Del Carmen"
"cewl","Yani's Kitchen  ","Yani's Kitchen  - Plaza Del Carmen","Pizza","5","(28)","Dagupan Pangasinan","Plaza Del Carmen"
"jezm","J & A Foodhub Milktea ","J & A Foodhub Milktea - Zamora","Milk Tea","4.2","(100+)","Dagupan Pangasinan","Zamora"
"vp7o","J & A Silog ","J & A Silog - Zamora","Milk Tea","3.7","(17)","Dagupan Pangasinan","Zamora"
"wopi","Yellow Tree Cafe ","Yellow Tree Cafe - Tapuac","Milk Tea","4.6","(100+)","Dagupan Pangasinan","Tapuac"
"dy8j","Rufino's Cafe & Food House ","Rufino's Cafe & Food House - Bonuan Gueset","Filipino","4.1","(100+)","Dagupan Pangasinan","Bonuan Gueset"
"du9e","The Citrus Center ","The Citrus Center - SM Center Dagupan","Beverages","4.6","(52)","Dagupan Pangasinan","SM Center Dagupan"
"j1dc","Mankape ","Mankape - Plaza Del Carmen","Coffee","4.5","(61)","Dagupan Pangasinan","Plaza Del Carmen"
"r6pn","Jollibee ","Jollibee - Dagupan East Junction","Fast Food","4.6","(2000+)","Dagupan Pangasinan","Dagupan East Junction"
"ie8e","Gong cha ","Gong cha - SM Dagupan","Beverages","4.8","(100+)","Dagupan Pangasinan","SM Dagupan"
"z906","Zesty Lemon ","Zesty Lemon - Dagupan","Beverages","4","(9)","Dagupan Pangasinan","Dagupan"
"owf2","HongKong Fried Noodles by Grateatude ","HongKong Fried Noodles by Grateatude - Dasma Bayan","Chinese","4.7","(1000+)","Dasmariñas Cavite","Dasma Bayan"
"w87k","Ysabelis Restaurant","Ysabelis Restaurant","Asian","4.9","(16)","Dasmariñas Cavite",""
"suhy","Simon's Pancit Habhab Food Haus ","Simon's Pancit Habhab Food Haus - Camerino Avenue","Filipino","4.7","(1000+)","Dasmariñas Cavite","Camerino Avenue"
"t6a2","GraTeatude ","GraTeatude - Dasma Bayan","Milk Tea","4.7","(2000+)","Dasmariñas Cavite","Dasma Bayan"
"vo4z","CM Ice Scramble ","CM Ice Scramble - Langkaan","Desserts","4.8","(100+)","Dasmariñas Cavite","Langkaan"
"e76k","Kordeli Cafe ","Kordeli Cafe - Dasmarinas","Coffee","4.7","(14)","Dasmariñas Cavite","Dasmarinas"
"a2rg","Ramenishi ","Ramenishi - Dasma Bayan","Japanese","4.6","(100+)","Dasmariñas Cavite","Dasma Bayan"
"j2vm","Max Mango ","Max Mango - Dasma Bayan","Milk Tea","4.6","(1000+)","Dasmariñas Cavite","Dasma Bayan"
"cxhq","Kurimi Milk Tea Bar ","Kurimi Milk Tea Bar - Dasmarinas","Milk Tea","4.7","(100+)","Dasmariñas Cavite","Dasmarinas"
"v9il","3 Hari ng Kusina Restaurant ","3 Hari ng Kusina Restaurant - San Isidro","Filipino","4.3","(500+)","Dasmariñas Cavite","San Isidro"
"oon2","Coftea DasmariÃ±as ","Coftea DasmariÃ±as - Don Placido Campos Avenue","Milk Tea","4.9","(100+)","Dasmariñas Cavite","Don Placido Campos Avenue"
"q7hg","Greenwich ","Greenwich - Dasmarinas Bayan","Pizza","4.7","(5000+)","Dasmariñas Cavite","Dasmarinas Bayan"
"i7pc","Mangrae ","Mangrae - Dasma Bayan","Fruit Shake","5","(6)","Dasmariñas Cavite","Dasma Bayan"
"bzs8","Kofilateria ","Kofilateria - Area G Congressional Avenue","Milk Tea","3.1","(35)","Dasmariñas Cavite","Area G Congressional Avenue"
"vf4m","Almigz Special Binalot ","Almigz Special Binalot - Paliparan","Filipino","4.3","(100+)","Dasmariñas Cavite","Paliparan"
"z5xc","Magia Grill ","Magia Grill - Malihan Street","Filipino","4.5","(500+)","Dasmariñas Cavite","Malihan Street"
"w1yh","Taparific ","Taparific - San Dionisio","Silog","4.7","(500+)","Dasmariñas Cavite","San Dionisio"
"kclf","3 Hari ng Kusina Restaurant ","3 Hari ng Kusina Restaurant - Dasma Bayan","Filipino","5","(21)","Dasmariñas Cavite","Dasma Bayan"
"kmpa","Elizabeth Food House ","Elizabeth Food House - Don Placido","Asian","4.4","(100+)","Dasmariñas Cavite","Don Placido"
"lgum","Friedyay Hongkong Style Noodles ","Friedyay Hongkong Style Noodles - Unitop Paliparan","Fast Food","2.4","(9)","Dasmariñas Cavite","Unitop Paliparan"
"nvj8","Nooks (Eats and Drinks) ","Nooks (Eats and Drinks) - Camerino Avenue","Asian","4.3","(11)","Dasmariñas Cavite","Camerino Avenue"
"ilpd","GyuCup","GyuCup- Poblacion","Korean","5","(23)","Dasmariñas Cavite","Poblacion"
"l4fv","Oppa Dru ","Oppa Dru - Zone 1","Fried Chicken","4.9","(1000+)","Dasmariñas Cavite","Zone 1"
"e8oa","McDonald's ","McDonald's - Dasmarinas Bayan","Fast Food","4.6","(20000+)","Dasmariñas Cavite","Dasmarinas Bayan"
"ov2d","CORNEE â€“ POBLACION","CORNEE â€“ POBLACION","Fast Food","2.3","(16)","Dasmariñas Cavite",""
"ffde","Cups & Brews Cafe ","Cups & Brews Cafe - Dasma Bayan","Coffee","4","(70)","Dasmariñas Cavite","Dasma Bayan"
"yx2i","SAMGYRAMEN â€“ POBLACION","SAMGYRAMEN â€“ POBLACION","Ramen","4.2","(21)","Dasmariñas Cavite",""
"jksq","Cabin Brew ","Cabin Brew - Malihan Street","Milk Tea","4.4","(100+)","Dasmariñas Cavite","Malihan Street"
"t0js","CRAZEE MANGO ","CRAZEE MANGO - SUKIMART DASMARIÃ‘AS","Milk Tea","2.1","(39)","Dasmariñas Cavite","SUKIMART DASMARIÃ‘AS"
"vtrz","Pan De Manila ","Pan De Manila - DasmariÃ±as","Bread","4.7","(100+)","Dasmariñas Cavite","DasmariÃ±as"
"iwdv","Countryside ","Countryside - Malihan","Filipino","4.9","(100+)","Dasmariñas Cavite","Malihan"
"av3z","Teank","Teank-Yu - Armstrong Village","Pizza","4.6","(100+)","Dasmariñas Cavite","Armstrong Village"
"lphd","VJ Pansitan and Tapsilogan ","VJ Pansitan and Tapsilogan - Langkaan II","Filipino","4.6","(100+)","Dasmariñas Cavite","Langkaan II"
"jg4y","Coftea DasmariÃ±as ","Coftea DasmariÃ±as - Brgy. Zone 3","Coffee","4.5","(10)","Dasmariñas Cavite","Brgy. Zone 3"
"zl71","Five Star Chicken ","Five Star Chicken - DasmariÃ±as Bayan","Fried Chicken","4.4","(100+)","Dasmariñas Cavite","DasmariÃ±as Bayan"
"a5ww","Polly's Gotong Batangas ","Polly's Gotong Batangas - Poblacion","Filipino","4.6","(86)","Dasmariñas Cavite","Poblacion"
"w4zk","Wing Bites ","Wing Bites - Dasma","Chicken Wings","4.8","(100+)","Dasmariñas Cavite","Dasma"
"sogw","Hangout CafÃ© ","Hangout CafÃ© - Bayan Dasmarinas","Asian","4.7","(69)","Dasmariñas Cavite","Bayan Dasmarinas"
"j1lo","Quickly ","Quickly - DasmariÃ±as Bayan","Milk Tea","4.8","(500+)","Dasmariñas Cavite","DasmariÃ±as Bayan"
"x89b","Samgyeop Grill Box ","Samgyeop Grill Box - Poblacion","BBQ","4.7","(10)","Dasmariñas Cavite","Poblacion"
"tdrs","Takoya","Takoya-G - Area G","Takoyaki","3.8","(3)","Dasmariñas Cavite","Area G"
"pur1","Akshaross Kitchenette ","Akshaross Kitchenette - Resortville Citihomes","Filipino","4.3","(64)","Dasmariñas Cavite","Resortville Citihomes"
"vyr5","Kinababa Halal Resto Cafe ","Kinababa Halal Resto Cafe - Area G","Chicken","5","(1)","Dasmariñas Cavite","Area G"
"v9fo","Pizzalicious French Style Pizza","Pizzalicious French Style Pizza","Pizza","5","(3)","Dasmariñas Cavite",""
"s1of","Krispy Kreme ","Krispy Kreme - SM Lanang","Donut","4.8","(1000+)","Davao City Davao del Sur","SM Lanang"
"s7sf","FoodBowls ","FoodBowls - Katipunan Diner","Seafood","4.6","(4000+)","Davao City Davao del Sur","Katipunan Diner"
"r9td","New Asia Restaurant ","New Asia Restaurant - Tan Building","Filipino","4.4","(500+)","Davao City Davao del Sur","Tan Building"
"t0rl","DRIP & DIP CAFE ","DRIP & DIP CAFE - Anda","Milk Tea","4.6","(100+)","Davao City Davao del Sur","Anda"
"t4iz","Chatime ","Chatime - SM Lanang","Milk Tea","4.7","(2000+)","Davao City Davao del Sur","SM Lanang"
"u87f","LA (Olah) Halo ","LA (Olah) Halo - Halo - Cabaguio Avenue","Halo-Halo","4.6","(2000+)","Davao City Davao del Sur","Cabaguio Avenue"
"ajdc","Island Samgyupsal ","Island Samgyupsal - BELEN ROAD","Korean","3.9","(13)","Davao City Davao del Sur","BELEN ROAD"
"d2mg","Panwiches & Nutwater ","Panwiches & Nutwater - SM Lanang","Sandwiches","4.6","(100+)","Davao City Davao del Sur","SM Lanang"
"y9q0","Turks ","Turks - Damosa Market Basket","Shawarma","4.7","(100+)","Davao City Davao del Sur","Damosa Market Basket"
"zy4e","Sunshine Bakery ","Sunshine Bakery - Ecoland","Asian","4.7","(100)","Davao City Davao del Sur","Ecoland"
"q2ur","Harley's Burgers and Shakes ","Harley's Burgers and Shakes - C.M Recto","Burgers","4.5","(100+)","Davao City Davao del Sur","C.M Recto"
"ajzq","Drip & Dip Takoyaki Oct","Drip & Dip Takoyaki Oct-Chi - Anda","Takoyaki","4.2","(58)","Davao City Davao del Sur","Anda"
"r5vm","Wow Lechon ","Wow Lechon - Katipunan Diner","Lechon","4.6","(5000+)","Davao City Davao del Sur","Katipunan Diner"
"mckq","Panadero Bakeshop ","Panadero Bakeshop - Sandawa Road","Bread","4.6","(100+)","Davao City Davao del Sur","Sandawa Road"
"z5lh","Mandarin Tea Garden ","Mandarin Tea Garden - SM Lanang Premier","Fish","4.6","(1000+)","Davao City Davao del Sur","SM Lanang Premier"
"byah","Drip & Dip Shawarma Zork's ","Drip & Dip Shawarma Zork's - Anda","Fried Chicken","4.4","(89)","Davao City Davao del Sur","Anda"
"w4dm","S.A.L.O. ","S.A.L.O. - SM City Lanang Premiere","Filipino","4.6","(99)","Davao City Davao del Sur","SM City Lanang Premiere"
